
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| DR2Name                       | RA_ICRS           | DE_ICRS           | Source               | Plx       | e_Plx    | pmRA      | e_pmRA   | pmDE       | e_pmDE   | Dup   | Gmag      | e_Gmag   | BPmag     | e_BPmag   | RPmag     | e_RPmag   | E(BR/RP)   | BP-RP    | BP-G     | G-RP     | RV       | e_RV    | Teff      | AG       | E(BP-RP)   | x              | y             | z              | mass      | u              | v              | w              |
| Gaia DR2 118078791386289920   | 052.04627261490   | +27.30702902167   | 118078791386289920   | 7.5043    | 0.0410   | 22.362    | 0.080    | -46.857    | 0.061    | 0     | 10.5974   | 0.0006   | 10.9786   | 0.0015    | 10.0776   | 0.0011    | 1.204      | 0.9011   | 0.3813   | 0.5198   | 3.10     | 0.53    | 5475.50   | 0.0555   | 0.0250     | -115.1222563   | 40.11617121   | -53.80385268   | 1.15819   | -3.661803213   | -13.91837485   | -7.366717433   |
| Gaia DR2 118093252539728512   | 052.08680594212   | +27.61936183377   | 118093252539728512   | 5.0182    | 0.0389   | 14.049    | 0.073    | -31.609    | 0.061    | 0     | 12.1975   | 0.0013   | 12.6759   | 0.0051    | 11.5775   | 0.0036    | 1.226      | 1.0985   | 0.4784   | 0.6200   | 0.39     | 1.67    | 4978.00   | 0.1670   | 0.0907     | -172.3207346   | 60.6506418    | -79.60331073   | 1.00751   | -6.307125021   | -14.2991062    | -6.994748943   |
| Gaia DR2 118289931977488512   | 048.86220692758   | +26.29361436047   | 118289931977488512   | 7.0881    | 0.0543   | 25.468    | 0.083    | -40.944    | 0.070    | 1     | 10.4637   | 0.0007   | 10.8316   | 0.0031    | 9.9634    | 0.0021    | 1.198      | 0.8682   | 0.3679   | 0.5003   | 1.73     | 0.73    | 5584.75   | 0.1743   | 0.0705     | -118.0070997   | 45.42393986   | -62.57129862   | 1.21638   | -3.326922055   | -14.42378315   | -4.48647255    |
| Gaia DR2 119746677510509568   | 052.86456285721   | +28.99891360454   | 119746677510509568   | 6.1712    | 0.0651   | 16.259    | 0.115    | -38.976    | 0.063    | 0     | 12.4847   | 0.0015   | 13.0915   | 0.0049    | 11.7611   | 0.0046    | 1.249      | 1.3304   | 0.6068   | 0.7236   | -3.83    | 4.24    | 4844.00   | 0.3530   | 0.1880     | -141.3912428   | 50.69780495   | -60.79777218   | 0.87769   | -9.786021544   | -15.05055319   | -5.951943904   |
| Gaia DR2 121984909523078016   | 047.18504798295   | +28.70439602228   | 121984909523078016   | 5.3912    | 0.0415   | 16.621    | 0.082    | -33.067    | 0.070    | 0     | 12.6981   | 0.0015   | 13.2521   | 0.0057    | 12.0175   | 0.0036    | 1.238      | 1.2346   | 0.5540   | 0.6806   | 1.10     | 4.66    | 4873.00   | 0.1630   | 0.0790     | -153.4094591   | 68.09325722   | -78.95487595   | 0.89308   | -4.275037399   | -13.42946834   | -7.725521709   |
| Gaia DR2 122037101965751424   | 047.64471043451   | +28.83105090021   | 122037101965751424   | 5.2398    | 0.0406   | 19.244    | 0.084    | -33.159    | 0.068    | 0     | 10.4706   | 0.0004   | 10.8097   | 0.0011    | 9.9883    | 0.0012    | 1.201      | 0.8214   | 0.3391   | 0.4823   | -3.46    | 0.56    | 5702.83   | 0.3250   | 0.1580     | -158.6228799   | 69.44377337   | -80.24175048   | 1.3795    | -6.575911721   | -17.60304782   | -4.965091378   |
| Gaia DR2 122283186411513472   | 049.40090784559   | +29.80782755562   | 122283186411513472   | 7.7412    | 0.0269   | 28.598    | 0.050    | -42.771    | 0.038    | 0     | 13.0634   | 0.0012   | 13.8462   | 0.0041    | 12.2115   | 0.0022    | 1.29       | 1.6347   | 0.7828   | 0.8519   | 0.83     | 4.22    | 4218.87   | 0.4330   | 0.2087     | -109.4066238   | 46.15031515   | -50.86696456   | 0.73198   | -2.369607854   | -13.73018612   | -3.418931232   |
| Gaia DR2 122397840562497280   | 049.58631332172   | +30.04657597645   | 122397840562497280   | 5.6808    | 0.0400   | 18.220    | 0.070    | -29.769    | 0.056    | 0     | 12.0042   | 0.0018   | 12.5827   | 0.0068    | 11.2989   | 0.0057    | 1.246      | 1.2838   | 0.5785   | 0.7053   | -2.43    | 3.97    | 5008.00   | 0.7940   | 0.3947     | -149.3992137   | 63.04204249   | -68.50293818   | 0.98728   | -6.176748695   | -12.46457684   | -2.340706281   |
| Gaia DR2 123235054244013696   | 045.89704493583   | +30.64287748734   | 123235054244013696   | 6.6743    | 0.0406   | 26.311    | 0.073    | -37.211    | 0.060    | 1     | 11.0471   | 0.0013   | 11.4493   | 0.0030    | 10.5185   | 0.0022    | 1.199      | 0.9308   | 0.4022   | 0.5286   | -1.64    | 0.67    | 5423.00   | 0.0380   | 0.0200     | -122.7216236   | 60.19467963   | -61.35400747   | 1.11529   | -3.159963277   | -14.93114637   | -3.37934975    |
| Gaia DR2 123561334319267328   | 048.60337926682   | +31.88042132525   | 123561334319267328   | 9.0287    | 0.0481   | 27.734    | 0.073    | -54.415    | 0.060    | 0     | 9.9294    | 0.0016   | 10.2835   | 0.0064    | 9.4570    | 0.0050    | 1.187      | 0.8266   | 0.3542   | 0.4724   | 0.43     | 0.52    | 5793.67   | 0.0358   | 0.0250     | -93.3381853    | 43.04224118   | -41.26344415   | 1.22021   | -3.53042112    | -12.94055328   | -7.251544281   |
