
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| DR2Name                       | RA_ICRS           | DE_ICRS           | Source               | Plx       | e_Plx    | pmRA      | e_pmRA   | pmDE       | e_pmDE   | Dup   | Gmag      | e_Gmag   | BPmag     | e_BPmag   | RPmag     | e_RPmag   | E(BR/RP)   | BP-RP    | BP-G     | G-RP     | RV       | e_RV    | Teff      | AG       | E(BP-RP)   | x              | y             | z              | mass      | u              | v              | w              |
| Gaia DR2 141572606093276800   | 042.73388414148   | +37.65967425069   | 141572606093276800   | 5.0548    | 0.0539   | 18.253    | 0.112    | -28.548    | 0.074    | 0     | 10.0321   | 0.0006   | 10.2907   | 0.0030    | 9.6587    | 0.0017    | 1.179      | 0.6320   | 0.2587   | 0.3734   | -5.71    | 1.42    | 6392.51   | 0.1505   | 0.0830     | -157.6205637   | 99.85209142   | -65.74902423   | 1.54169   | -4.50227752    | -14.24617734   | -5.503316881   |
| Gaia DR2 141954239706914304   | 044.62622103130   | +36.40747988928   | 141954239706914304   | 4.5820    | 0.0512   | 15.948    | 0.063    | -25.387    | 0.052    | 0     | 12.9760   | 0.0014   | 13.5108   | 0.0050    | 12.3176   | 0.0051    | 1.229      | 1.1931   | 0.5347   | 0.6584   | -5.60    | 2.26    | 4870.09   | 0.1262   | 0.0627     | -177.3050094   | 103.6406761   | -73.84113396   | 0.90645   | -5.386211317   | -13.99133853   | -4.5068751     |
| Gaia DR2 143837840565161472   | 044.36193864194   | +39.68597327003   | 143837840565161472   | 4.5480    | 0.0633   | 17.718    | 0.100    | -24.895    | 0.074    | 0     | 11.3641   | 0.0013   | 11.7107   | 0.0028    | 10.8850   | 0.0023    | 1.195      | 0.8257   | 0.3467   | 0.4791   | -5.59    | 1.18    | 5600.33   | 0.1257   | 0.0610     | -177.9073114   | 112.0295427   | -64.37369345   | 1.23267   | -2.993418333   | -14.51961166   | -4.153813067   |
| Gaia DR2 149014955486742656   | 064.12849643148   | +23.52349736944   | 149014955486742656   | 6.4676    | 0.0424   | 12.602    | 0.109    | -42.370    | 0.070    | 1     | 12.7294   | 0.0004   | 13.4317   | 0.0019    | 11.9319   | 0.0009    | 1.272      | 1.4997   | 0.7023   | 0.7974   | 1.42     | 1.11    | 4357.00   | 0.6430   | 0.3137     | -144.6684926   | 19.92155851   | -50.80194823   | 0.82234   | -9.748820937   | -14.47588165   | -6.638797566   |
| Gaia DR2 149194661216820224   | 066.33731001518   | +23.67680279715   | 149194661216820224   | 7.2527    | 0.0413   | 11.163    | 0.097    | -45.122    | 0.064    | 0     | 11.8606   | 0.0008   | 12.4057   | 0.0020    | 11.1890   | 0.0014    | 1.235      | 1.2167   | 0.5452   | 0.6716   | 6.06     | 0.55    | 4810.73   |          |            | -130.5892152   | 14.95362314   | -41.63463758   | 0.92478   | -5.805659691   | -11.80041319   | -7.899411548   |
| Gaia DR2 162576812940018048   | 061.71831579053   | +26.35130897533   | 162576812940018048   | 5.7958    | 0.0523   | 12.882    | 0.119    | -37.596    | 0.041    | 1     | 12.4010   | 0.0004   | 13.0042   | 0.0013    | 11.6749   | 0.0011    | 1.252      | 1.3294   | 0.6033   | 0.7261   | 3.60     | 0.59    | 4963.00   | 0.6275   | 0.3237     | -159.9979751   | 32.83896557   | -55.6087986    | 0.91165   | -5.684879682   | -14.05389834   | -7.357068143   |
| Gaia DR2 163647015711395584   | 059.68636238148   | +27.39528292252   | 163647015711395584   | 6.9731    | 0.0634   | 19.110    | 0.103    | -43.176    | 0.054    | 0     | 12.7431   | 0.0004   | 13.4467   | 0.0019    | 11.9368   | 0.0021    | 1.279      | 1.5099   | 0.7036   | 0.8062   | 3.45     | 0.84    | 4394.33   | 0.3890   | 0.1795     | -131.4589364   | 32.1502693    | -47.44449439   | 0.7989    | -4.180217863   | -14.17065399   | -5.515156018   |
| Gaia DR2 216714536405355648   | 056.41032193826   | +32.44972110507   | 216714536405355648   | 5.1514    | 0.0513   | 17.212    | 0.083    | -30.029    | 0.059    | 0     | 11.6543   | 0.0010   | 12.1474   | 0.0018    | 11.0251   | 0.0011    | 1.226      | 1.1223   | 0.4931   | 0.6292   | -0.15    | 1.42    | 4937.12   | 0.6857   | 0.3315     | -174.5555554   | 61.88265291   | -58.16915652   | 1.09939   | -3.651052535   | -14.52510994   | -3.13873698    |
| Gaia DR2 217361358479886720   | 055.14691776733   | +32.14445855892   | 217361358479886720   | 4.7980    | 0.0331   | 16.433    | 0.049    | -29.198    | 0.035    | 0     | 13.4717   | 0.0012   | 14.1449   | 0.0052    | 12.6898   | 0.0034    | 1.27       | 1.4551   | 0.6732   | 0.7819   | 4.26     | 2.66    | 4537.33   | 0.2880   | 0.1390     | -185.6730886   | 68.24504251   | -65.62253196   | 0.81145   | 0.429447849    | -14.03150633   | -5.560822732   |
| Gaia DR2 217367435857769728   | 055.24549719696   | +32.33467093597   | 217367435857769728   | 5.8289    | 0.0567   | 16.742    | 0.102    | -37.225    | 0.061    | 1     | 10.6625   | 0.0005   | 11.0276   | 0.0025    | 10.1562   | 0.0015    | 1.203      | 0.8714   | 0.3651   | 0.5063   | 2.17     | 0.69    | 5522.50   | 0.2685   | 0.1300     | -152.9547897   | 56.39603477   | -53.44767868   | 1.26914   | -2.551544074   | -13.93182694   | -7.514993911   |
| Gaia DR2 217868164622076928   | 056.14714109586   | +33.03847051132   | 217868164622076928   | 5.0851    | 0.0468   | 19.985    | 0.082    | -28.451    | 0.057    | 0     | 11.5522   | 0.0007   | 12.0872   | 0.0016    | 10.8808   | 0.0011    | 1.239      | 1.2065   | 0.5351   | 0.6714   | 2.90     | 1.13    | 4949.25   | 0.8357   | 0.4117     | -176.4931332   | 64.56363937   | -57.9109254    | 1.1219    | 0.591824207    | -14.47981129   | -1.691240331   |
| Gaia DR2 217890189214310144   | 056.24723963144   | +33.32588146317   | 217890189214310144   | 5.1233    | 0.0333   | 20.049    | 0.064    | -32.131    | 0.035    | 1     | 13.5057   | 0.0002   | 14.2076   | 0.0066    | 12.5616   | 0.0080    | 1.401      | 1.6460   | 0.7019   | 0.9441   | 4.26     | 4.21    | 4338.00   | 1.1010   | 0.5545     | -175.2965832   | 64.5582581    | -56.58511692   | 0.78286   | 1.918898717    | -16.11146348   | -4.483780481   |
| Gaia DR2 218073773297988736   | 056.63917107587   | +33.98180721215   | 218073773297988736   | 5.3011    | 0.0306   | 15.160    | 0.066    | -31.829    | 0.037    | 1     | 12.2975   | 0.0001   | 12.8106   | 0.0007    | 11.6409   | 0.0007    | 1.237      | 1.1698   | 0.5132   | 0.6566   | 2.13     | 0.49    | 4906.00   |          |            | -169.8488259   | 63.14610062   | -52.43694249   | 0.96718   | -1.924741832   | -12.61616148   | -5.929306985   |
| Gaia DR2 234418146785802752   | 050.88242480991   | +37.10405206096   | 234418146785802752   | 4.9628    | 0.1318   | 18.221    | 0.233    | -28.348    | 0.122    | 0     | 10.2385   | 0.0009   | 10.5272   | 0.0011    | 9.8191    | 0.0013    | 1.189      | 0.7081   | 0.2887   | 0.4194   | -2.95    | 0.91    | 6178.47   | 0.1472   | 0.0755     | -173.2786003   | 85.4358761    | -57.24103963   | 1.48483   | -2.903901096   | -14.68615654   | -3.618672934   |
| Gaia DR2 318403831372266368   | 026.32561504449   | +35.67057729094   | 318403831372266368   | 12.2520   | 0.0581   | 49.792    | 0.083    | -57.195    | 0.072    | 0     | 11.0129   | 0.0007   | 11.6114   | 0.0021    | 10.3119   | 0.0019    | 1.235      | 1.2995   | 0.5985   | 0.7009   | -2.26    | 0.45    | 4701.63   | 0.2297   | 0.0995     | -51.97236662   | 51.83653818   | -35.68718333   | 0.87619   | -0.288204649   | -8.794354207   | -7.087671764   |
| Gaia DR2 322885475127241216   | 023.27548436247   | +38.57038406783   | 322885475127241216   | 7.6564    | 0.0488   | 33.760    | 0.085    | -42.078    | 0.100    | 0     | 8.1923    | 0.0005   | 8.3622    | 0.0021    | 7.9384    | 0.0014    | 1.165      | 0.4239   | 0.1699   | 0.2540   | -5.76    | 1.16    | 7147.52   | 0.5640   | 0.2770     | -79.79189867   | 89.22906674   | -52.25305023   | 1.95874   | -1.029567113   | -12.45341558   | -10.53925858   |
| Gaia DR2 327491569855445248   | 037.33987972898   | +36.29646967985   | 327491569855445248   | 8.2770    | 0.0509   | 33.655    | 0.093    | -41.945    | 0.085    | 0     | 12.2545   | 0.0015   | 12.8911   | 0.0059    | 11.5171   | 0.0039    | 1.248      | 1.3740   | 0.6367   | 0.7373   | -5.43    | 0.88    | 4603.84   | 0.1270   | 0.0640     | -90.4382777    | 65.40392213   | -46.25958941   | 0.81873   | -2.93315335    | -13.44490817   | -3.860270953   |
| Gaia DR2 330324491626411008   | 029.61125205734   | +36.02181623754   | 330324491626411008   | 9.1610    | 0.0409   | 38.302    | 0.075    | -44.805    | 0.081    | 0     | 9.4557    | 0.0012   | 9.7667    | 0.0025    | 9.0352    | 0.0040    | 1.178      | 0.7315   | 0.3110   | 0.4205   | -7.54    | 0.54    | 6009.00   | 0.0807   | 0.0290     | -73.37450259   | 66.47379796   | -45.96756318   | 1.33202   | -3.49433996    | -13.44352293   | -4.610321721   |
| Gaia DR2 333979989831931904   | 041.63078467378   | +38.17787322826   | 333979989831931904   | 5.0661    | 0.0419   | 24.330    | 0.059    | -29.054    | 0.049    | 0     | 13.5345   | 0.0006   | 14.2719   | 0.0032    | 12.7123   | 0.0014    | 1.28       | 1.5596   | 0.7373   | 0.8222   | -4.38    | 2.24    | 4448.18   | 0.4993   | 0.2365     | -155.4321035   | 102.5900182   | -65.41540396   | 0.78528   | 0.28312514     | -17.24333454   | -4.350334693   |
| Gaia DR2 333986655621413632   | 041.61720094572   | +38.37975698873   | 333986655621413632   | 4.8370    | 0.0625   | 18.253    | 0.099    | -27.609    | 0.081    | 0     | 9.2311    | 0.0003   | 9.3960    | 0.0026    | 8.9805    | 0.0027    | 1.166      | 0.4155   | 0.1649   | 0.2506   | -5.45    | 2.82    | 7337.33   | 0.4945   | 0.2450     | -162.7675074   | 107.8689144   | -67.91777064   | 1.93416   | -3.492628588   | -14.46702241   | -6.027801211   |
| Gaia DR2 334052974213150720   | 041.35421320822   | +38.70587485632   | 334052974213150720   | 4.4208    | 0.1154   | 17.643    | 0.116    | -25.824    | 0.180    | 0     | 10.8165   | 0.0006   | 11.1123   | 0.0024    | 10.3861   | 0.0017    | 1.192      | 0.7262   | 0.2957   | 0.4305   | -11.62   | 0.26    | 5949.44   | 0.1730   | 0.0860     | -177.5775831   | 119.2510355   | -73.57145391   | 1.39137   | -7.555296532   | -18.62828736   | -4.284637352   |
| Gaia DR2 334156706263100032   | 040.58774591773   | +38.62208110401   | 334156706263100032   | 20.2714   | 0.0740   | 82.504    | 0.118    | -107.149   | 0.092    | 0     | 9.9194    | 0.0020   | 10.4687   | 0.0055    | 9.2469    | 0.0038    | 1.234      | 1.2218   | 0.5493   | 0.6725   | -3.34    | 1.41    | 4816.47   | 0.0240   | 0.0080     | -38.40558894   | 26.30806676   | -16.32174266   | 0.87896   | -0.821406687   | -12.98043036   | -4.854172345   |
| Gaia DR2 334377467582019584   | 040.74882805695   | +39.80360790729   | 334377467582019584   | 4.7193    | 0.0617   | 18.205    | 0.079    | -24.467    | 0.067    | 0     | 12.1039   | 0.0007   | 12.5280   | 0.0034    | 11.5416   | 0.0020    | 1.211      | 0.9865   | 0.4242   | 0.5623   | -6.63    | 1.45    | 5327.00   | 0.0818   | 0.0427     | -165.2096701   | 114.9953718   | -66.19940749   | 1.05381   | -3.631724749   | -13.63904258   | -4.002147993   |
| Gaia DR2 334700758360689792   | 037.29652917256   | +38.36732739407   | 334700758360689792   | 4.9513    | 0.0748   | 21.452    | 0.106    | -24.425    | 0.081    | 0     | 12.2839   | 0.0006   | 12.7425   | 0.0033    | 11.6889   | 0.0017    | 1.218      | 1.0536   | 0.4585   | 0.5950   | -6.11    | 1.48    | 5057.55   | 0.0940   | 0.0402     | -151.3734817   | 113.2027312   | -71.142915     | 0.99918   | -1.945404078   | -13.94329338   | -3.107324887   |
| Gaia DR2 335112594184871424   | 040.22715786259   | +39.92792467046   | 335112594184871424   | 4.8110    | 0.0630   | 18.922    | 0.094    | -24.314    | 0.075    | 0     | 12.4584   | 0.0009   | 12.9257   | 0.0036    | 11.8544   | 0.0033    | 1.22       | 1.0714   | 0.4673   | 0.6041   | -8.01    | 1.85    | 5264.46   | 0.0180   | 0.0130     | -161.1389827   | 113.9943894   | -65.15134089   | 0.9794    | -4.409972441   | -14.2163573    | -3.091328109   |
| Gaia DR2 338344471175696640   | 038.28605365312   | +40.58319356419   | 338344471175696640   | 4.5918    | 0.0590   | 18.458    | 0.074    | -23.286    | 0.064    | 0     | 11.3568   | 0.0016   | 11.6862   | 0.0067    | 10.8738   | 0.0045    | 1.206      | 0.8124   | 0.3294   | 0.4830   | -9.20    | 2.17    | 5825.33   | 0.0940   | 0.0535     | -165.1787077   | 124.3915856   | -68.33888666   | 1.23015   | -4.658914828   | -14.82544463   | -3.426813348   |
| Gaia DR2 37637077589965184    | 055.08506398996   | +12.71405130194   | 37637077589965184    | 20.7655   | 0.0585   | 32.027    | 0.129    | -118.248   | 0.083    | 0     | 12.6673   | 0.0003   | 13.8034   | 0.0023    | 11.6215   | 0.0016    | 1.374      | 2.1818   | 1.1361   | 1.0458   | 6.98     | 0.75    | 3936.21   | 0.0900   | 0.0478     | -40.24858074   | 4.067133303   | -26.12626316   | 0.54319   | -9.54039669    | -9.591115037   | -8.035462473   |
| Gaia DR2 41437780049517440    | 054.26086220578   | +14.57776640932   | 41437780049517440    | 11.2353   | 0.0485   | 26.108    | 0.088    | -67.862    | 0.056    | 0     | 13.3742   | 0.0004   | 14.4411   | 0.0024    | 12.3551   | 0.0019    | 1.363      | 2.0860   | 1.0669   | 1.0191   | 9.72     | 1.12    | 3979.48   | 0.0080   | 0.0047     | -74.66899518   | 10.4927155    | -47.28974772   | 0.61358   | -5.182062681   | -12.55568347   | -8.828490174   |
| Gaia DR2 43733079289895424    | 056.55851557407   | +17.15439118099   | 43733079289895424    | 18.4921   | 0.0736   | 49.803    | 0.161    | -111.680   | 0.138    | 0     | 12.0249   | 0.0016   | 13.0682   | 0.0078    | 11.0250   | 0.0040    | 1.35       | 2.0432   | 1.0433   | 0.9999   | 8.62     | 3.99    | 4284.01   | 0.7047   | 0.3655     | -46.93983248   | 6.804442144   | -25.97466894   | 0.64276   | -4.182557449   | -13.77821508   | -6.897737192   |
| Gaia DR2 44582692542297856    | 056.35952555318   | +17.78294962042   | 44582692542297856    | 10.6124   | 0.0434   | 26.723    | 0.076    | -63.620    | 0.057    | 0     | 12.1415   | 0.0019   | 12.8590   | 0.0072    | 11.3398   | 0.0048    | 1.27       | 1.5192   | 0.7175   | 0.8017   | 9.43     | 0.94    | 4345.50   | 0.2740   | 0.1272     | -81.89843933   | 12.82898309   | -44.80303651   | 0.76074   | -3.490664879   | -12.82066754   | -7.813501955   |
| Gaia DR2 45022222315428608    | 056.11710071535   | +19.18481985136   | 45022222315428608    | 6.8953    | 0.0434   | 18.880    | 0.076    | -41.232    | 0.057    | 0     | 11.5564   | 0.0024   | 12.0901   | 0.0073    | 10.8883   | 0.0056    | 1.237      | 1.2018   | 0.5338   | 0.6681   | 3.24     | 3.64    | 4888.00   | 0.5380   | 0.2590     | -126.5690362   | 22.74858653   | -67.04876931   | 0.99502   | -7.754576513   | -14.10694592   | -4.528612882   |
| Gaia DR2 49809495943068288    | 059.45728387938   | +18.56218816462   | 49809495943068288    | 7.6940    | 0.0478   | 20.280    | 0.085    | -47.181    | 0.047    | 0     | 11.1952   | 0.0014   | 11.6568   | 0.0031    | 10.6163   | 0.0023    | 1.205      | 1.0405   | 0.4615   | 0.5789   | 8.91     | 0.38    | 5175.28   | 0.0410   | 0.0210     | -116.1386405   | 14.64050319   | -56.47990623   | 1.0228    | -3.595993826   | -14.14402755   | -6.717188886   |
| Gaia DR2 50702299385351040    | 057.96471844927   | +18.63147864582   | 50702299385351040    | 9.1544    | 0.0454   | 22.698    | 0.098    | -56.055    | 0.053    | 0     | 11.0973   | 0.0011   | 11.5829   | 0.0012    | 10.5041   | 0.0008    | 1.205      | 1.0789   | 0.4856   | 0.5933   | 8.50     | 0.34    | 5063.33   | 0.1050   | 0.0475     | -96.54179407   | 14.16545598   | -49.10862813   | 0.97298   | -4.156523072   | -13.40660224   | -7.480691389   |
| Gaia DR2 50870902621391360    | 058.81567073650   | +19.62935002672   | 50870902621391360    | 8.8100    | 0.0420   | 22.108    | 0.100    | -53.639    | 0.051    | 1     | 12.6713   | 0.0019   | 13.4096   | 0.0076    | 11.8443   | 0.0047    | 1.284      | 1.5653   | 0.7383   | 0.8270   | 7.28     | 13.01   | 4280.00   | 0.2932   | 0.1440     | -101.3741136   | 15.15054471   | -48.76161469   | 0.74488   | -4.710993628   | -13.51266648   | -6.610855214   |
| Gaia DR2 50905056201179520    | 058.00344644096   | +19.59668372921   | 50905056201179520    | 6.9597    | 0.0367   | 17.210    | 0.073    | -42.594    | 0.042    | 1     | 10.3203   | 0.0005   | 10.6769   | 0.0014    | 9.8240    | 0.0010    | 1.201      | 0.8529   | 0.3566   | 0.4963   | 8.72     | 0.54    | 5593.25   |          |            | -127.5216545   | 20.37224874   | -62.99694153   | 1.25959   | -3.51358884    | -13.17834958   | -7.698743961   |
| Gaia DR2 50976077779666688    | 057.04311617504   | +19.30230859505   | 50976077779666688    | 7.6461    | 0.0396   | 21.058    | 0.087    | -46.629    | 0.052    | 1     | 12.7291   | 0.0010   | 13.4372   | 0.0045    | 11.9303   | 0.0029    | 1.271      | 1.5069   | 0.7081   | 0.7989   | 7.79     | 1.81    | 4511.75   | 0.1900   | 0.1297     | -115.0644577   | 19.4007089    | -59.06499608   | 0.77631   | -3.854279031   | -13.99494486   | -6.661158145   |
| Gaia DR2 51212026103928832    | 057.42105688136   | +20.32401432020   | 51212026103928832    | 10.8511   | 0.0483   | 25.198    | 0.098    | -67.701    | 0.057    | 0     | 12.9847   | 0.0019   | 13.9419   | 0.0071    | 12.0264   | 0.0043    | 1.333      | 1.9155   | 0.9572   | 0.9583   | 8.13     | 3.14    | 4108.97   | 0.2410   | 0.1525     | -81.64514034   | 14.50943587   | -40.2041806    | 0.66381   | -4.086436195   | -12.97535754   | -8.5318797     |
| Gaia DR2 51619120284286976    | 058.37032288089   | +20.90717151386   | 51619120284286976    | 7.3916    | 0.0398   | 19.468    | 0.090    | -44.502    | 0.045    | 0     | 11.6508   | 0.0017   | 12.1771   | 0.0054    | 10.9905   | 0.0040    | 1.234      | 1.1866   | 0.5263   | 0.6602   | -1.38    | 3.60    | 4937.33   | 0.2320   | 0.1215     | -120.9850923   | 20.94443933   | -56.80758261   | 0.9537    | -11.53181263   | -14.71341487   | -2.7022515     |
| Gaia DR2 51674920499533184    | 058.88317583292   | +21.07927614347   | 51674920499533184    | 8.1395    | 0.0429   | 21.817    | 0.075    | -50.503    | 0.044    | 0     | 10.8651   | 0.0011   | 11.2997   | 0.0026    | 10.3166   | 0.0019    | 1.197      | 0.9831   | 0.4346   | 0.5485   | 6.95     | 0.34    | 5327.33   | 0.1160   | 0.0573     | -110.3507005   | 18.62250328   | -50.69356465   | 1.06464   | -4.091965366   | -14.27122573   | -6.479901656   |
| Gaia DR2 51694746068624128    | 059.59016429741   | +21.25747514453   | 51694746068624128    | 7.2266    | 0.0450   | 17.787    | 0.109    | -44.894    | 0.047    | 0     | 11.2265   | 0.0019   | 11.6909   | 0.0031    | 10.6527   | 0.0020    | 1.201      | 1.0382   | 0.4644   | 0.5738   | 7.80     | 0.56    | 5210.33   | 0.1375   | 0.0717     | -125.0002978   | 20.25660352   | -55.79322716   | 1.04221   | -3.688729782   | -13.58453484   | -7.311038128   |
| Gaia DR2 51742471745296768    | 058.61605650386   | +21.38954222557   | 51742471745296768    | 7.4544    | 0.0380   | 19.199    | 0.079    | -47.193    | 0.044    | 0     | 10.7565   | 0.0012   | 11.1548   | 0.0029    | 10.2307   | 0.0020    | 1.199      | 0.9241   | 0.3983   | 0.5258   | 7.49     | 0.57    | 5610.42   |          |            | -120.3791303   | 21.25314829   | -55.25323838   | 1.12631   | -3.740628189   | -14.20494415   | -7.540313149   |
| Gaia DR2 51861425158394624    | 062.23086485695   | +20.38578379580   | 51861425158394624    | 8.0060    | 0.0625   | 18.992    | 0.109    | -49.508    | 0.071    | 0     | 9.2598    | 0.0005   | 9.5338    | 0.0017    | 8.8636    | 0.0014    | 1.183      | 0.6702   | 0.2740   | 0.3962   | 13.10    | 0.48    | 6230.50   | 0.1500   | 0.0720     | -114.5321077   | 13.37092046   | -48.01210265   | 1.47133   | 0.496701474    | -13.23947974   | -8.5853845     |
| Gaia DR2 52798204769096960    | 063.19661348194   | +22.38668075248   | 52798204769096960    | 6.0491    | 0.0426   | 14.187    | 0.083    | -38.142    | 0.062    | 0     | 12.9440   | 0.0022   | 13.6805   | 0.0071    | 12.1156   | 0.0059    | 1.286      | 1.5649   | 0.7365   | 0.8284   | 8.58     | 14.54   | 4252.43   |          |            | -153.410916    | 20.39907698   | -58.12088629   | 0.8108    | -2.822076937   | -13.90377782   | -7.167181703   |
| Gaia DR2 53783852522073856    | 060.93412747639   | +22.94409144401   | 53783852522073856    | 7.2691    | 0.0571   | 17.563    | 0.105    | -44.872    | 0.055    | 1     | 9.5192    | 0.0002   | 9.8547    | 0.0005    | 9.0462    | 0.0005    | 1.197      | 0.8085   | 0.3355   | 0.4730   | 7.87     | 0.65    | 5767.00   | 0.4815   | 0.2397     | -126.0412252   | 21.21375468   | -50.88027066   | 1.44605   | -2.903727721   | -13.23482096   | -7.098350411   |
| Gaia DR2 56451130290853888    | 054.31563643309   | +17.90807995593   | 56451130290853888    | 12.8971   | 0.0561   | 32.109    | 0.121    | -79.000    | 0.089    | 0     | 8.5683    | 0.0003   | 8.8629    | 0.0011    | 8.1511    | 0.0014    | 1.185      | 0.7118   | 0.2945   | 0.4172   | 3.14     | 0.27    | 6050.33   | 0.0517   | 0.0260     | -66.24015104   | 12.41715599   | -38.34088797   | 1.37155   | -8.977461285   | -13.787742     | -5.854216124   |
| Gaia DR2 56944909793468928    | 054.63091031618   | +18.90439357946   | 56944909793468928    | 5.2301    | 0.0428   | 13.797    | 0.077    | -32.303    | 0.061    | 0     | 12.0353   | 0.0006   | 12.4964   | 0.0016    | 11.4341   | 0.0015    | 1.221      | 1.0623   | 0.4611   | 0.6012   | 5.08     | 0.63    | 5111.28   | 0.0602   | 0.0353     | -164.5519006   | 32.39542321   | -91.81876072   | 1.02163   | -6.610745386   | -14.01668179   | -6.651929609   |
| Gaia DR2 59661291925385600    | 048.97587570002   | +20.45400663031   | 59661291925385600    | 9.7524    | 0.0444   | 29.344    | 0.082    | -59.067    | 0.070    | 0     | 9.9518    | 0.0009   | 10.3146   | 0.0019    | 9.4641    | 0.0016    | 1.193      | 0.8504   | 0.3628   | 0.4877   | 4.00     | 1.58    | 5683.90   | 0.0425   | 0.0207     | -84.10528492   | 25.68333627   | -52.73320103   | 1.17693   | -5.575831786   | -13.88763941   | -6.754023264   |
| Gaia DR2 60899101502109696    | 050.33643167314   | +20.28600223295   | 60899101502109696    | 4.8591    | 0.0402   | 9.620     | 0.075    | -30.579    | 0.055    | 0     | 10.6466   | 0.0003   | 10.9701   | 0.0006    | 10.1829   | 0.0004    | 1.197      | 0.7872   | 0.3235   | 0.4638   | 10.65    | 0.73    | 5820.67   | 0.2363   | 0.1097     | -171.0746241   | 48.07623997   | -103.8028711   | 1.37822   | -2.931498873   | -10.1285259    | -13.05517589   |
| Gaia DR2 61519672735818880    | 052.86820613931   | +21.82171046176   | 61519672735818880    | 7.8176    | 0.0530   | 23.950    | 0.107    | -47.115    | 0.083    | 0     | 8.7672    | 0.0003   | 8.9983    | 0.0013    | 8.4336    | 0.0019    | 1.172      | 0.5647   | 0.2311   | 0.3336   | 3.09     | 0.21    | 6725.50   | 0.3445   | 0.2095     | -109.631104    | 28.82422831   | -59.26864884   | 1.65163   | -5.813366725   | -14.53446338   | -5.156103919   |
| Gaia DR2 61554650949438208    | 053.27436936179   | +22.13405363809   | 61554650949438208    | 7.4340    | 0.0426   | 22.249    | 0.085    | -45.902    | 0.068    | 0     | 11.1998   | 0.0016   | 11.6422   | 0.0038    | 10.6266   | 0.0025    | 1.21       | 1.0156   | 0.4424   | 0.5732   | 6.45     | 0.98    | 5120.90   | 0.0740   | 0.0370     | -115.842022    | 30.25011731   | -61.32240222   | 1.0362    | -3.098249938   | -14.06961972   | -7.289194239   |
| Gaia DR2 62546101200350080    | 050.64225876208   | +22.67842181076   | 62546101200350080    | 5.8217    | 0.0334   | 21.004    | 0.068    | -33.041    | 0.049    | 0     | 11.6400   | 0.0009   | 12.0969   | 0.0020    | 11.0390   | 0.0021    | 1.222      | 1.0579   | 0.4568   | 0.6011   | 5.53     | 0.98    | 5134.67   | 0.2350   | 0.1195     | -144.5937767   | 44.62136847   | -81.28191091   | 1.05244   | -1.638789825   | -13.98202411   | -4.608488143   |
| Gaia DR2 62851250037017728    | 049.87766178846   | +23.32467314116   | 62851250037017728    | 5.2122    | 0.0458   | 14.797    | 0.083    | -32.574    | 0.063    | 0     | 10.4098   | 0.0004   | 10.7774   | 0.0008    | 9.9009    | 0.0010    | 1.203      | 0.8765   | 0.3677   | 0.5089   | 1.71     | 1.80    | 5508.25   | 0.5647   | 0.2530     | -160.6517044   | 52.91488735   | -90.55451176   | 1.3957    | -6.870954447   | -14.24740343   | -7.036735206   |
| Gaia DR2 62909180556014080    | 049.91730590083   | +23.90971655958   | 62909180556014080    | 12.0754   | 0.0377   | 41.786    | 0.078    | -65.833    | 0.063    | 0     | 12.1291   | 0.0007   | 12.9251   | 0.0023    | 11.2758   | 0.0011    | 1.287      | 1.6494   | 0.7960   | 0.8534   | 2.71     | 1.10    | 4185.02   | 0.3310   | 0.1980     | -69.50728742   | 23.39137244   | -38.46468434   | 0.72853   | -3.648836696   | -13.21514404   | -3.373979529   |
| Gaia DR2 63052048347383168    | 056.25701992765   | +19.55918148838   | 63052048347383168    | 7.2483    | 0.0545   | 20.757    | 0.095    | -43.221    | 0.064    | 0     | 9.2954    | 0.0002   | 9.5740    | 0.0011    | 8.8877    | 0.0012    | 1.187      | 0.6863   | 0.2786   | 0.4077   | 11.65    | 2.85    | 6190.40   | 0.3375   | 0.1653     | -120.7302677   | 22.09506129   | -63.00795137   | 1.52208   | 0.034067576    | -13.06607986   | -7.984211153   |
| Gaia DR2 63289920815872256    | 056.58067961687   | +20.87959482060   | 63289920815872256    | 7.2846    | 0.0633   | 20.394    | 0.116    | -44.117    | 0.068    | 0     | 11.3100   | 0.0013   | 11.7795   | 0.0029    | 10.7226   | 0.0013    | 1.208      | 1.0569   | 0.4695   | 0.5874   | 8.39     | 0.68    | 5070.65   | 0.1000   | 0.0513     | -121.0545162   | 23.83027831   | -60.18898277   | 1.02286   | -2.435237935   | -13.51978365   | -7.027413501   |
| Gaia DR2 63547270960574336    | 056.00276928023   | +21.28187871427   | 63547270960574336    | 7.4294    | 0.0396   | 20.209    | 0.088    | -45.910    | 0.050    | 0     | 12.4373   | 0.0023   | 13.0654   | 0.0082    | 11.6904   | 0.0076    | 1.259      | 1.3750   | 0.6281   | 0.7469   | 10.58    | 3.03    | 4887.84   | 0.1400   | 0.0735     | -118.3080296   | 24.89045152   | -59.16909135   | 0.82557   | -0.570013176   | -13.10642456   | -8.854383148   |
